timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576355547226,442,Add User,200,OK,Thread Group 1-371,text,true,,224,211,500,500,http://www.localhost:4200/user,442,0,436
1576355547079,589,Add User,200,OK,Thread Group 1-21,text,true,,224,211,500,500,http://www.localhost:4200/user,589,0,583
1576355547043,626,Add User,200,OK,Thread Group 1-286,text,true,,224,211,500,500,http://www.localhost:4200/user,626,0,620
1576355547230,440,Add User,200,OK,Thread Group 1-50,text,true,,224,211,500,500,http://www.localhost:4200/user,440,0,435
1576355547225,445,Add User,200,OK,Thread Group 1-52,text,true,,224,211,500,500,http://www.localhost:4200/user,445,0,439
1576355547233,438,Add User,200,OK,Thread Group 1-370,text,true,,224,211,500,500,http://www.localhost:4200/user,438,0,432
1576355547039,632,Add User,200,OK,Thread Group 1-429,text,true,,224,211,500,500,http://www.localhost:4200/user,632,0,627
1576355547234,438,Add User,200,OK,Thread Group 1-132,text,true,,224,211,500,500,http://www.localhost:4200/user,438,0,433
1576355547234,438,Add User,200,OK,Thread Group 1-400,text,true,,224,211,500,500,http://www.localhost:4200/user,438,0,434
1576355547044,629,Add User,200,OK,Thread Group 1-412,text,true,,224,211,500,500,http://www.localhost:4200/user,629,0,625
1576355547235,439,Add User,200,OK,Thread Group 1-383,text,true,,224,211,500,500,http://www.localhost:4200/user,439,0,434
1576355547079,595,Add User,200,OK,Thread Group 1-101,text,true,,224,211,500,500,http://www.localhost:4200/user,595,0,591
1576355547236,439,Add User,200,OK,Thread Group 1-35,text,true,,224,211,500,500,http://www.localhost:4200/user,439,0,435
1576355547079,596,Add User,200,OK,Thread Group 1-108,text,true,,224,211,500,500,http://www.localhost:4200/user,596,0,593
1576355547080,596,Add User,200,OK,Thread Group 1-152,text,true,,224,211,500,500,http://www.localhost:4200/user,596,0,592
1576355547237,440,Add User,200,OK,Thread Group 1-372,text,true,,224,211,500,500,http://www.localhost:4200/user,440,0,436
1576355547238,439,Add User,200,OK,Thread Group 1-386,text,true,,224,211,500,500,http://www.localhost:4200/user,439,0,437
1576355547236,442,Add User,200,OK,Thread Group 1-121,text,true,,224,211,500,500,http://www.localhost:4200/user,441,0,439
1576355547044,635,Add User,200,OK,Thread Group 1-351,text,true,,224,211,500,500,http://www.localhost:4200/user,635,0,633
1576355547239,440,Add User,200,OK,Thread Group 1-63,text,true,,224,211,500,500,http://www.localhost:4200/user,440,0,439
1576355547238,442,Add User,200,OK,Thread Group 1-404,text,true,,224,211,500,500,http://www.localhost:4200/user,442,0,441
1576355547238,443,Add User,200,OK,Thread Group 1-207,text,true,,224,211,500,500,http://www.localhost:4200/user,442,0,441
1576355547081,602,Add User,200,OK,Thread Group 1-1,text,true,,224,211,500,500,http://www.localhost:4200/user,601,0,600
1576355547240,443,Add User,200,OK,Thread Group 1-405,text,true,,224,211,500,500,http://www.localhost:4200/user,443,0,441
1576355547080,604,Add User,200,OK,Thread Group 1-24,text,true,,224,211,500,500,http://www.localhost:4200/user,604,0,600
1576355547237,449,Add User,200,OK,Thread Group 1-64,text,true,,224,211,500,500,http://www.localhost:4200/user,449,0,448
1576355547241,447,Add User,200,OK,Thread Group 1-388,text,true,,224,211,500,500,http://www.localhost:4200/user,447,0,446
